,player_id,fifa_version,overall,potential,age,preferred_foot,weak_foot,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,main_position
130794,219681,17.0,76,84,22,Left,3,3,1,79.0,67.0,69.0,74.0,74.0,69.0,DF
29150,259406,23.0,64,78,19,Right,3,3,1,71.0,62.0,59.0,69.0,25.0,60.0,FW
967,138412,24.0,77,77,37,Right,4,3,2,53.0,70.0,79.0,76.0,76.0,75.0,MD
75594,213160,20.0,79,86,25,Right,3,4,1,76.0,64.0,75.0,80.0,78.0,73.0,MD
95792,204355,19.0,74,76,26,Left,2,3,1,66.0,40.0,63.0,66.0,76.0,75.0,DF
139605,203786,17.0,65,68,25,Right,3,3,1,90.0,59.0,57.0,68.0,37.0,66.0,MD
25745,231185,23.0,67,74,23,Right,3,2,1,70.0,29.0,51.0,58.0,67.0,71.0,DF
14569,268905,24.0,60,77,20,Right,2,2,1,57.0,34.0,51.0,59.0,61.0,64.0,MD
112213,147782,18.0,79,79,33,Right,3,2,2,66.0,65.0,73.0,75.0,77.0,73.0,MD
151905,202541,16.0,69,74,24,Left,3,3,1,71.0,66.0,67.0,75.0,24.0,58.0,MD
171801,174665,15.0,64,65,27,Right,3,2,1,71.0,38.0,41.0,50.0,65.0,79.0,DF
147271,188081,16.0,82,85,25,Right,4,4,2,88.0,76.0,76.0,86.0,67.0,65.0,MD
37101,235569,22.0,82,87,24,Right,3,4,1,71.0,72.0,81.0,88.0,69.0,72.0,MD
93893,193525,19.0,81,81,27,Right,3,3,2,82.0,62.0,73.0,76.0,81.0,79.0,DF
94115,199304,19.0,79,80,26,Right,4,3,2,75.0,70.0,73.0,74.0,77.0,77.0,DF
99773,184471,19.0,69,69,29,Right,3,3,1,60.0,65.0,70.0,70.0,37.0,60.0,MD
172934,147600,15.0,63,63,32,Right,3,2,1,57.0,39.0,50.0,38.0,63.0,76.0,DF
118666,213354,18.0,68,71,25,Right,3,2,1,73.0,33.0,57.0,64.0,69.0,61.0,DF
117711,211820,18.0,69,72,25,Right,3,3,1,90.0,47.0,56.0,67.0,64.0,80.0,DF
116791,192751,18.0,70,72,27,Left,3,2,1,63.0,35.0,56.0,51.0,69.0,78.0,DF
131276,203910,17.0,75,79,24,Left,3,4,1,76.0,71.0,71.0,80.0,29.0,63.0,MD
164050,192505,15.0,80,86,21,Left,4,3,3,84.0,80.0,65.0,75.0,30.0,81.0,FW
84639,179822,20.0,66,66,32,Right,3,3,1,66.0,55.0,63.0,68.0,69.0,58.0,DF
131100,181483,17.0,76,76,31,Right,3,2,1,50.0,68.0,67.0,60.0,77.0,83.0,MD
133318,184218,17.0,72,72,29,Right,3,3,1,87.0,69.0,61.0,73.0,37.0,67.0,FW
130602,184999,17.0,77,78,27,Right,4,3,1,74.0,73.0,76.0,77.0,74.0,73.0,MD
167363,165219,15.0,69,73,25,Right,2,2,1,59.0,35.0,51.0,49.0,68.0,76.0,DF
158486,213454,16.0,62,69,22,Right,2,2,1,61.0,63.0,44.0,54.0,31.0,67.0,FW
66026,242023,21.0,65,71,23,Left,3,2,1,73.0,29.0,51.0,62.0,63.0,55.0,DF
159556,222128,16.0,61,63,27,Right,3,3,1,75.0,53.0,59.0,67.0,38.0,39.0,MD
130665,154950,17.0,77,77,32,Left,2,3,2,77.0,69.0,76.0,79.0,71.0,73.0,DF
20745,236530,23.0,73,80,23,Left,2,3,1,69.0,62.0,66.0,75.0,69.0,73.0,MD
119324,237844,18.0,67,78,21,Right,4,2,1,74.0,57.0,68.0,69.0,59.0,57.0,MD
101439,202808,19.0,67,71,25,Right,3,2,1,74.0,61.0,60.0,66.0,66.0,69.0,MD
117175,193895,18.0,70,70,26,Right,4,2,1,72.0,69.0,65.0,72.0,44.0,66.0,MD
93985,147782,19.0,80,80,34,Right,3,3,2,66.0,65.0,73.0,75.0,78.0,75.0,MD
167977,184456,15.0,68,73,25,Right,3,2,1,73.0,44.0,52.0,67.0,67.0,76.0,DF
130655,148167,17.0,77,77,35,Right,3,2,1,77.0,62.0,68.0,71.0,75.0,69.0,DF
114061,186783,18.0,74,74,29,Right,3,4,1,87.0,67.0,67.0,73.0,42.0,67.0,MD
129868,206273,17.0,81,82,25,Right,4,4,2,88.0,74.0,77.0,82.0,48.0,68.0,MD
126083,235439,18.0,60,72,20,Right,3,2,1,73.0,56.0,39.0,64.0,16.0,50.0,FW
76122,189165,20.0,77,78,27,Right,3,3,2,62.0,72.0,79.0,72.0,62.0,74.0,MD
153919,193245,16.0,67,69,26,Right,3,2,1,72.0,68.0,62.0,69.0,30.0,70.0,MD
165192,220295,15.0,74,75,24,Right,3,2,2,85.0,71.0,65.0,76.0,48.0,70.0,FW
106086,243948,19.0,63,64,27,Right,4,2,1,73.0,52.0,65.0,59.0,58.0,69.0,MD
153688,190601,16.0,67,72,25,Left,3,2,1,71.0,65.0,45.0,61.0,29.0,71.0,FW
150444,199915,16.0,71,77,23,Right,3,2,1,60.0,32.0,50.0,59.0,71.0,74.0,DF
141355,223947,17.0,63,71,21,Right,3,2,1,73.0,62.0,51.0,63.0,27.0,59.0,FW
