,value_eur
130794,6500000.0
29150,1400000.0
967,3300000.0
75594,16000000.0
95792,5500000.0
139605,625000.0
25745,1900000.0
14569,625000.0
112213,5000000.0
151905,1300000.0
171801,475000.0
147271,25000000.0
37101,46000000.0
93893,14500000.0
94115,12000000.0
99773,1000000.0
172934,190000.0
118666,925000.0
117711,1100000.0
116791,1700000.0
131276,5500000.0
164050,10500000.0
84639,425000.0
131100,3400000.0
133318,2100000.0
130602,6500000.0
167363,950000.0
158486,400000.0
66026,1100000.0
159556,250000.0
130665,3900000.0
20745,6000000.0
119324,1300000.0
101439,975000.0
117175,1900000.0
93985,4500000.0
167977,950000.0
130655,1000000.0
114061,5500000.0
129868,19000000.0
126083,375000.0
76122,10000000.0
153919,850000.0
165192,4000000.0
106086,425000.0
153688,975000.0
150444,1900000.0
141355,500000.0
160640,150000.0
18410,72500000.0
38703,4700000.0
126126,300000.0
176365,90000.0
112089,11500000.0
55892,130000.0
7349,2100000.0
37297,27500000.0
112347,10000000.0
137447,875000.0
141299,500000.0
112191,12000000.0
56733,5500000.0
97876,2100000.0
23273,1300000.0
178589,70000.0
1555,7000000.0
14603,600000.0
164408,4900000.0
120658,875000.0
158036,325000.0
174901,210000.0
57053,15500000.0
135620,650000.0
99094,2300000.0
170449,475000.0
124407,350000.0
38972,5500000.0
37811,14500000.0
76589,8000000.0
132059,3500000.0
94294,12500000.0
53391,625000.0
65659,1700000.0
168962,775000.0
130906,5000000.0
166229,1500000.0
170033,450000.0
127656,180000.0
75657,12500000.0
153229,550000.0
91975,190000.0
161077,240000.0
114314,4500000.0
157478,525000.0
46882,1500000.0
50270,1000000.0
177875,70000.0
57549,7000000.0
108503,110000.0
56519,29000000.0
18761,22500000.0
129691,19000000.0
148161,7500000.0
84114,825000.0
113256,9000000.0
134228,2000000.0
38871,8500000.0
142672,400000.0
46744,1600000.0
57747,8000000.0
77171,8500000.0
113136,6000000.0
101601,925000.0
19664,7500000.0
40846,3000000.0
75861,10500000.0
102323,850000.0
14570,625000.0
22829,2500000.0
1276,6500000.0
114094,4400000.0
53970,400000.0
1646,4100000.0
149379,4000000.0
232,35500000.0
174885,140000.0
161780,120000.0
140018,300000.0
154242,750000.0
115139,3100000.0
111595,83000000.0
171141,450000.0
487,39500000.0
64583,1900000.0
172952,230000.0
149300,4600000.0
165204,1000000.0
523,20500000.0
117341,2200000.0
153118,775000.0
13788,1000000.0
97443,3800000.0
127797,150000.0
176339,120000.0
37442,17500000.0
118239,1700000.0
2294,7000000.0
116666,2400000.0
137006,1200000.0
68177,1000000.0
164998,2900000.0
18658,28000000.0
4421,3300000.0
99453,1100000.0
109856,120000.0
26696,850000.0
38375,12500000.0
80516,1900000.0
52176,600000.0
47081,1400000.0
138088,1100000.0
57489,6000000.0
157349,525000.0
129966,14000000.0
135082,1400000.0
156354,775000.0
76867,6500000.0
31877,800000.0
37459,17500000.0
138209,950000.0
119710,975000.0
156441,625000.0
94957,5000000.0
18426,37500000.0
88309,650000.0
40742,4200000.0
177919,70000.0
38494,7500000.0
94633,7000000.0
140619,450000.0
156022,425000.0
389,30000000.0
144539,275000.0
114655,2500000.0
137373,925000.0
